Job Title,Pay,Contractor Tier,Url
Automation and Integration Specialist,Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/Automation-and-Integration-Specialist_~01914edfede4571008/
Looking for New AI Bots or Tools for telegram and such.,Hourly: $15-$45,Intermediate,https://www.upwork.com/freelance-jobs/apply/Looking-for-New-Bots-Tools-for-telegram-and-such_~019c2f8b581d60c7a8/
Bayesian STAN model,Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/Bayesian-STAN-model_~0142fe3e48f536a4f4/
Python script,Fixed-price,Entry level,https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-script_~01ef2d06d44e12452b/
Enhanced DL/ML for reinforcement Mobile Edge Computing performance,Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/Enhanced-for-reinforcement-Mobile-Edge-Computing-performance_~01fec9d843443287ee/
Video Detection Tool,Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/Video-Detection-Tool_~0114a169cd70d45d45/
Website Development,Hourly: $20-$25,Intermediate,https://www.upwork.com/freelance-jobs/apply/Website-Development_~017e7d20de845bd90d/
Website Scraper/OpenAI,Hourly: $10-$50,Expert,https://www.upwork.com/freelance-jobs/apply/Website-Scraper-OpenAI_~0137b8084c52848df7/
Pine Script Specialist,Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/Pine-Script-Specialist_~015779a8767a0f7d4c/
Python Developer for Web Scraping ASP.NET Applications,Hourly: $8-$25,Intermediate,https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Developer-for-Web-Scraping-ASP-NET-Applications_~01f356da8be470a26f/
MaskRCNN,Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/MaskRCNN_~0130211a0d85bb2d66/
Stock Screener Development,Fixed-price,Intermediate,https://www.upwork.com/freelance-jobs/apply/Stock-Screener-Development_~01b6b2bc42422837a5/
IBM Watson Developer,Hourly: $20-$40,Intermediate,https://www.upwork.com/freelance-jobs/apply/IBM-Watson-Developer_~013fb7bb6c77ad9369/
Develop a Jeopardy-Style Online Test Simulator for Trivia Enthusiasts!,Hourly: $25-$75,Expert,https://www.upwork.com/freelance-jobs/apply/Develop-Jeopardy-Style-Online-Test-Simulator-for-Trivia-Enthusiasts_~01e714dc9569b3ce6d/
Scientific Software Engineer,Hourly: $15-$45,Intermediate,https://www.upwork.com/freelance-jobs/apply/Scientific-Software-Engineer_~01d1b8b0b33b81490f/
Looking for a programmer to create bot for bets,Fixed-price,Intermediate,https://www.upwork.com/freelance-jobs/apply/Looking-for-programmer-create-bot-for-bets_~0174d371dbdeba5167/
Automation Expert,Hourly: $10-$40,Expert,https://www.upwork.com/freelance-jobs/apply/Automation-Expert_~01db9d357c1304ac76/
Playwright expert for migrating codebase,Hourly: $12-$29,Intermediate,https://www.upwork.com/freelance-jobs/apply/Playwright-expert-for-migrating-codebase_~01f40d1b343afc8bdf/
AWS embeddings,Fixed-price,Intermediate,https://www.upwork.com/freelance-jobs/apply/AWS-embeddings_~018df7baa4e982b991/
Software Quality Assurance Revit data extraction,Hourly,Intermediate,https://www.upwork.com/freelance-jobs/apply/Software-Quality-Assurance-Revit-data-extraction_~01b35768d3d89710da/
Developer needed to build a web/LinkedIn Scraper and using GPT to create and outreach automation.,Hourly: $30-$40,Intermediate,https://www.upwork.com/freelance-jobs/apply/Developer-needed-build-web-LinkedIn-Scraper-and-using-GPT-create-and-outreach-automation_~01ed492799ca8ff825/
"Python - Error message, file is not UTF-8 encoded, saving disabled",Fixed-price,Intermediate,https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Error-message-file-not-UTF-encoded-saving-disabled_~0136ef290e8619f34a/
Programmer for Realtime Generative Content Installation,Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/Programmer-for-Realtime-Generative-Content-Installation_~01cc0e291c193ed6f0/
"Write a Journal Paper on Optimizing Healthcare Providers Preauthorization approval AI/ML , Gen AI",Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/Write-Journal-Paper-Optimizing-Healthcare-Providers-Preauthorization-approval-Gen_~0151254fc274e4a65c/
Box size calculator using API,Hourly,Intermediate,https://www.upwork.com/freelance-jobs/apply/Box-size-calculator-using-API_~01b2ad7fdf86730b6d/
Senior Python Backend Developer,Hourly: $30-$50,Expert,https://www.upwork.com/freelance-jobs/apply/Senior-span-class-highlight-Python-span-Backend-Developer_~01fcccc052dac4c859/
Python FastAPI developer,Hourly: $10-$20,Expert,https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-FastAPI-developer_~01d8109e3736882a89/
Create AI model / Machine learning,Fixed-price,Intermediate,https://www.upwork.com/freelance-jobs/apply/Create-model-Machine-learning_~0116afc40dc013c3bf/
Setup payment gateway for ecommerce application,Hourly,Intermediate,https://www.upwork.com/freelance-jobs/apply/Setup-payment-gateway-for-ecommerce-application_~010c5794bd8c917d69/
Python code security tool for on-premise deployment,Hourly,Intermediate,https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-code-security-tool-for-premise-deployment_~01348d40f1426db63c/
Python ninja engineer to support CEO at data startup,Hourly: $30,Intermediate,https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-ninja-engineer-support-CEO-data-startup_~01d41a35f53e94f469/
Dev ops,Hourly: $20-$45,Intermediate,https://www.upwork.com/freelance-jobs/apply/Dev-ops_~019178bd2bffb7c9dc/
AI Automation & No Code Developer,Hourly: $10-$40,Intermediate,https://www.upwork.com/freelance-jobs/apply/Automation-amp-Code-Developer_~013cf2a3f903042158/
Job Title: AI-Powered Vocabulary Learning Website Development,Hourly: $15-$32,Intermediate,https://www.upwork.com/freelance-jobs/apply/Job-Title-Powered-Vocabulary-Learning-Website-Development_~012231e59ad9929168/
Online Reservation System Website,Fixed-price,Intermediate,https://www.upwork.com/freelance-jobs/apply/Online-Reservation-System-Website_~016cdaa41415ecb9d7/
C++ programming,Hourly: $15-$30,Intermediate,https://www.upwork.com/freelance-jobs/apply/programming_~01f00f7d335811f7fb/
I need help creating an app that can pull call recordings from Twilio and analyze it with AI,Hourly: $25-$50,Expert,https://www.upwork.com/freelance-jobs/apply/need-help-creating-app-that-can-pull-call-recordings-from-Twilio-and-analyze-with_~01ffeac961788dbda7/
Custom Stable Diffusion Image Models,Hourly: $10-$15,Expert,https://www.upwork.com/freelance-jobs/apply/Custom-Stable-Diffusion-Image-Models_~01d76c9577e5eefd90/
Full-Stack Developer,Hourly,Intermediate,https://www.upwork.com/freelance-jobs/apply/Full-Stack-Developer_~018bfbe74de41113e7/
Review questions for a Redis test for technical correctness,Fixed-price,Intermediate,https://www.upwork.com/freelance-jobs/apply/Review-questions-for-Redis-test-for-technical-correctness_~0159f5e28c901c77ed/
Revision of an application in Python for data analysis and visualization and data enrichment,Hourly: $10-$15,Expert,https://www.upwork.com/freelance-jobs/apply/Revision-application-span-class-highlight-Python-span-for-data-analysis-and-visualization-and-data-enrichment_~01564ff7d3c758bc18/
2FA Email OTP Bypass bot.,Fixed-price,Intermediate,https://www.upwork.com/freelance-jobs/apply/2FA-Email-OTP-Bypass-bot_~01b74572274a6f1af9/
Prompt Engineer,Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/Prompt-Engineer_~01a18d8222183c2692/
Custom Stable Diffusion Image Models,Fixed-price,Expert,https://www.upwork.com/freelance-jobs/apply/Custom-Stable-Diffusion-Image-Models_~01b23d0ac2a54e3654/
Need a tutor for cloud architecture,Hourly: $35-$80,Expert,https://www.upwork.com/freelance-jobs/apply/Need-tutor-for-cloud-architecture_~01349dda3bf84ae931/
Model hydrology in california,Hourly: $30-$40,Expert,https://www.upwork.com/freelance-jobs/apply/Model-hydrology-california_~0130f93c220f220fac/
Data mining,Hourly: $6-$11,Intermediate,https://www.upwork.com/freelance-jobs/apply/Data-mining_~01db44e4dda49baeb0/
Google/ Excel/ Low code warehouse system,Hourly: $15-$35,Entry level,https://www.upwork.com/freelance-jobs/apply/Google-Excel-Low-code-warehouse-system_~01e56fd3f5cde6655c/
Develop/Build a Cloud based Software-SaaS,Fixed-price,Intermediate,https://www.upwork.com/freelance-jobs/apply/Develop-Build-Cloud-based-Software-SaaS_~018b27b2aa4b54a1f4/
Full Stack Developer | Python/Next/AWS/BIg Query,Hourly: $15-$30,Expert,https://www.upwork.com/freelance-jobs/apply/Full-Stack-Developer-span-class-highlight-Python-span-Next-AWS-BIg-Query_~012cab7bf5fd7a18d7/
